uid,actual_name,wrong_name
83,Verizon,VeeizoJ
84,Procore Technologies,Procore T6c9nologies
85,JDEdwards,RDE3wards
86,Apple,APple
87,Contract Logix,Contragt Logix
88,Microsoft,MicroIoft
89,Contract Logix,Contract rogix
90,Procore Technologies,Proeore Technologi8s
91,Patagonia,Pata0onia
92,Procore Technologies,Procore uechnUlogies
93,Oracle,Orache
94,WageWorks,WagVWorks
95,Procore Technologies,PBoJDre leTh7oloTies
96,AstraZeneca,AsCraZen8ca
97,Ropes & Gray,Ro0es & Gray
98,Linkedin,Linkecin
99,HP,lP
100,Oracle,Osacle
101,Contract Logix,Wo2tract Lokix
102,WageWorks,WaCeWorpR
103,Novartis,Novartss
104,Boston Properties,Boston P5operties
105,Novartis,Novartif
106,Boston Properties,Boston PropErties
107,Linkedin,Linkedpn
108,Apple,wpple
109,Boston Properties,Boston Pr9perties
110,Microsoft,MiDrosofe
111,Dell Technologies,5ell uechnologies
112,OpenAI,Bp2ZmI
113,HP,G9
114,AstraZeneca,AstraZekeca
115,Procore Technologies,PrTdore Tezhnologies
116,Procore Technologies,Procore TethnoZogies
117,Dell Technologies,Dell T0chnoBogies
118,Novartis,NM8arti4
119,Linkedin,Linkboin
120,Novartis,Novart7s
121,JDEdwards,JDEdwardO
122,United Healthcare,Unfted Healthcire
123,United Healthcare,Un8ted Healthcare
124,Ropes & Gray,fopes & Gray
125,Oracle,Or1clx
126,Ropes & Gray,Ropes7& mCay
127,Google,Gxogle
128,JDEdwards,JDEdwa5ds
129,Patagonia,Pgtagonia
130,OpenAI,OwenAI
131,OpenAI,OpenAL
132,Procore Technologies,arocore Tc4hnolog7es
133,JDEdwards,JDEdwalds
134,Contract Logix,CYntract Logix
135,Ropes & Gray,RGpes & Gray
136,Oracle,Oracla
137,Dell Technologies,DBll TechnoNogies
138,Ropes & Gray,Ropis & Gray
139,Contract Logix,Cvntract Logix
140,AstraZeneca,AstraZeeeca
141,Procore Technologies,Procore 0echnoloGies
142,JDEdwards,JDEdwaIFs
143,OpenAI,OpenaI
144,Dell,D5ll
145,Oracle,Oracld
146,Apple,A3ple
147,Ropes & Gray,RoUes & Gray
148,Procore Technologies,Procore Technklogias
149,Dell,Del7
150,Apple,A2E2e
151,Contract Logix,CNztract Logix
152,Patagonia,Patagonda
153,Boston Properties,Boston Pr4pertieu
154,Linkedin,Link6din
155,United Healthcare,United HeaGthcdre
156,Boston Properties,Bos7on Properties
157,WageWorks,WFgeporks
158,AstraZeneca,AstraWeneta
159,Google,GQogle
160,AstraZeneca,AstraZen4ca
161,OpenAI,OhenAI
162,Apple,ApTle
163,Google,GoGgle
164,Verizon,VyrizoS
165,OpenAI,OpenAd
166,Boston Properties,Roston Properties
167,WageWorks,WageWomds
168,HP,HQ
169,OpenAI,ObenAI
170,Dell,DelL
171,Verizon,Verizkn
172,Oracle,O7acle
173,OpenAI,OZegDI
174,Dell Technologies,Dell Techn6logies
175,Microsoft,MicrosofS
176,Dell Technologies,Dell Tech3olWEies
177,Ropes & Gray,Ropws & Gray
178,OpenAI,OpehfI
179,JDEdwards,JDEd4ards
180,Dell,5ell
181,Patagonia,Pata8onia
182,Dell Technologies,Dell Technolhgies
183,Verizon,Verizoy
184,WageWorks,WageWZrk5
185,Boston Properties,Bostoe Properties
186,Dell Technologies,Dell TeOhnologieK
187,Procore Technologies,Procore Techgologiep
188,Microsoft,Mi8rosoft
189,Dell Technologies,Desr Teghlo5ogies
190,Dell Technologies,Dell TechnolXgies
191,AstraZeneca,AstraZ7nec4
192,Boston Properties,Boston Propsrties
193,Microsoft,Mixrosoft
194,AstraZeneca,AsXraZeneca
195,Google,Goomle
196,Dell Technologies,Dell TechnoZogies
197,Boston Properties,Boston PrDperties
198,Google,GDogle
199,AstraZeneca,AstraZenecd
200,Dell Technologies,Dell Tevhnolozies
201,Dell,DGll
202,Novartis,Novar9is
203,HP,H1
204,AstraZeneca,Astr2Zeneca
205,AstraZeneca,AstrEZvneca
206,WageWorks,WageWoVks
207,Google,Goorle
208,WageWorks,3ageWorks
209,JDEdwards,lzEdwarPs
210,HP,He
211,Apple,6pple
212,United Healthcare,United nealthcarj
213,Contract Logix,Contract Lyhix
214,AstraZeneca,AstJaEenNca
215,Boston Properties,Rost3n Properties
216,Patagonia,Pakagonia
217,Contract Logix,Co2trcct Logix
218,United Healthcare,UnitJd Healthcare
219,JDEdwards,JDSdwards
220,HP,4P
221,JDEdwards,JgEdwards
222,Dell,delg
223,JDEdwards,NoZdwards
224,Boston Properties,BostoM Properties
225,Contract Logix,Contra4t Logix
226,United Healthcare,UnMted Healthcare
227,Google,Googbe
228,OpenAI,OpeDFI
229,JDEdwards,JDEdwar3s
230,Dell Technologies,Dell TechnologMes
231,Patagonia,Patagoniy
232,Novartis,FovvrIis
233,Procore Technologies,Procor9 TechTologies
234,WageWorks,WaglBbrks
235,Contract Logix,C0ntract Logix
236,Contract Logix,Contract oKgix
237,Apple,A9ple
238,Boston Properties,Boston ProperCies
239,OpenAI,OpmnuI
240,AstraZeneca,Astra3enecC
241,Linkedin,g6nkedin
242,Linkedin,Link0din
243,AstraZeneca,AstGaZMnDca
244,Google,Qoogle
245,United Healthcare,Unitqd ne6ltVcore
246,Google,Goo3lA
247,Oracle,OrXcle
248,WageWorks,WafeWorks
249,Boston Properties,Boston ProperOres
250,Ropes & Gray,Ropes & GCay
251,Boston Properties,Boston PropLrties
252,Oracle,OrE8le
253,Ropes & Gray,Robes & Gray
254,Novartis,Novartws
255,Dell Technologies,Hell2Tzchnologiez
256,AstraZeneca,AstraZeneAa
257,Apple,Adple
258,United Healthcare,mnited Healthcare
259,United Healthcare,UUited HealthNQre
260,Contract Logix,CmnUrakt Logix
261,Ropes & Gray,RBpes & Gray
262,Dell Technologies,DelY Technologies
263,WageWorks,WugeWorks
264,Oracle,4rmcle
265,WageWorks,WageWoqHs
266,Microsoft,iicrosoft
267,HP,XP
268,Procore Technologies,Procore oechnologies
269,Contract Logix,ConYract Logia
270,OpenAI,OpIYAI
271,WageWorks,WJgeWorks
272,Boston Properties,Boston ProperVies
273,Oracle,Orac4e
274,Microsoft,MicroXof3
275,Patagonia,PatagQnia
276,Linkedin,Lihfedin
277,HP,uP
278,OpenAI,OpesAI
279,Contract Logix,Contract Uogix
280,Google,GAogle
281,JDEdwards,sdDdwNrds
282,Boston Properties,Boston Prope2ties
283,United Healthcare,4nNted Nealthcale
284,United Healthcare,United Healthcgre
285,Microsoft,Microsofu
286,OpenAI,spenAI
287,AstraZeneca,Ast9ameneIa
288,AstraZeneca,Astra6eneca
289,Dell Technologies,Dell T9LhnolosieK
290,OpenAI,OgenAI
291,Boston Properties,Bohton Properties
292,Boston Properties,BosAon Properties
293,Microsoft,Microsofa
294,Contract Logix,3ontract Logix
295,Dell,Doll
296,Verizon,Verinon
297,HP,Hp
298,Procore Technologies,Prccore Tewhnologies
299,Dell,Deul
300,Microsoft,Microso6t
301,United Healthcare,UnitCd HealthcaHe
302,Patagonia,Patagoniu
303,Verizon,Ve3izon
304,Dell,DelK
305,Microsoft,B19rosoft
306,Contract Logix,Contract LoEiC
307,OpenAI,OpenAR
308,Verizon,Verizoh
309,Dell Technologies,DelY TechnoKosies
310,Linkedin,Lin6edin
311,Procore Technologies,Procyrf Technologies
312,Contract Logix,ContEact Logix
313,Novartis,NovarFis
314,Dell Technologies,Dell Techjologies
315,WageWorks,WageWorPs
316,Google,GooglU
317,Verizon,Verizo1
318,Verizon,Ve2iLon
319,OpenAI,OpNnAI
320,Oracle,Oracl8
321,Dell Technologies,Dell UechnUlogies
322,WageWorks,WwgeWorks
323,United Healthcare,UniNed Healthcare
324,Dell Technologies,Dell TSchnologies
325,United Healthcare,United qealth1Bre
326,AstraZeneca,A5traZeneca
327,Apple,Ap6le
328,WageWorks,WageWoFks
329,Novartis,NovarNis
330,Google,GoPgle
331,Microsoft,Midrosoft
332,Apple,Apfle
333,Microsoft,MicrRsoft
334,Oracle,Orlcle
335,AstraZeneca,A3tuaZeneca
336,Boston Properties,Bfston Propenties
337,HP,Hewlett Packard
338,Dell,Dklj
339,OpenAI,O4enAI
340,Contract Logix,ConWracV Logix
341,Dell,Dhil
342,Novartis,Novarti6
343,Ropes & Gray,Ropes & Geay
344,Dell Technologies,DelF Tec0nologhe7
345,Patagonia,PatagonWa
346,JDEdwards,wDEdwards
347,United Healthcare,Uni4ed He5vthcare
348,Procore Technologies,PrKcore Technologies
349,Novartis,Nnvartis
350,Dell,uell
351,Microsoft,Zfc2osoft
352,Google,Googl7
353,HP,VP
354,Oracle,OTacNe
355,Verizon,cerizon
356,Google,oLoglk
357,WageWorks,WageWorxs
358,HP,nP
359,Microsoft,Misrosoft
360,Verizon,VerNzon
361,Microsoft,Microsgft
362,JDEdwards,TDEdwards
363,Boston Properties,BosKon Propertie6
364,Contract Logix,Co2tFacV Logix
365,OpenAI,OpQnAI
366,WageWorks,WOgeOorks
367,WageWorks,WmgeWorks
368,Ropes & Gray,Ropxs & G7ay
369,Contract Logix,2ontract Log7x
370,Google,Gooile
371,AstraZeneca,AstraZeyeTa
372,Dell Technologies,DelB Teohnolovies
373,Contract Logix,Contract Dfeix
374,United Healthcare,Uni1ed Healthcare
375,Apple,App7e
376,Verizon,Verizgn
377,Linkedin,vinkedin
378,Procore Technologies,ozocore Technologies
379,Linkedin,LinYedin
380,Novartis,NovartiN
381,Dell,De6l
382,Novartis,NoBartis
383,Contract Logix,Conpract Logix
384,Google,G9ogle
385,AstraZeneca,AstraZenech
386,JDEdwards,JDEdwar7s
387,Contract Logix,ConZract Logix
388,Patagonia,PatagPnia
389,United Healthcare,United HeacthcSre
390,AstraZeneca,jstraZeneMa
391,Patagonia,Patagon1a
392,OpenAI,OpeAAA
393,Dell,DeGj
394,Dell,Gell
395,Apple,Ipple
396,Verizon,VeridoE
397,Boston Properties,Bost82 Properties
398,Contract Logix,Contrayt L0gix
399,Patagonia,Pat2gonia
400,Procore Technologies,Procore
401,Boston Properties,Boston Properties
402,Verizon,Verizon
403,AstraZeneca,AstraZeneca
404,Dell,Dell
405,Microsoft,Microsoft
406,Ropes & Gray,Ropes & Gray
407,Dell Technologies,Dell Technologies
408,Oracle,Oracle
409,HP,HP
410,OpenAi,OpenAi
411,Linkedin,Linkedin
412,Procore Technologies,Procore Technologies
413,Apple,Apple
414,JDEdwards,JDEdwards
415,Patagonia,Patagonia
416,Novartis,Novartis
417,Google,Google
418,Contract Logix,Contract Logix
419,WageWorks,WageWorks
420,United Healthcare,United Healthcare
421,Boston Properties,BXP
422,Verizon,VZ
423,AstraZeneca,AZN
424,Dell,DLL
425,Microsoft,MSFT
426,Ropes & Gray,RG
427,Dell Technologies,Dell Tech
428,Oracle,ORCL
429,HP,HPQ
430,OpenAI,OAI
431,Linkedin,LNKD
432,Procore Technologies,PCOR
433,Apple,AAPL
434,JDEdwards,JDE
435,Patagonia,PGNA
436,Novartis,NVS
437,Google,GOOG
438,Contract Logix,CLX
439,WageWorks,WW
440,United Healthcare,UHC
